,Embedding,Method,Time,Dimension,Window,Word count,Sampling,Cross-sentence,Epochs,Dataset,Score
0,w2v,CBOW,2020-04-20 14:42:52.391419,100,2,1000000,hs,Yes,10,Google,0.008595988538681949
1,w2v,CBOW,2020-04-20 14:42:55.646252,100,2,1000000,hs,Yes,10,MSR,0.022
2,w2v,CBOW,2020-04-20 14:43:16.427697,100,5,1000000,hs,Yes,10,Google,0.008033155955792059
3,w2v,CBOW,2020-04-20 14:43:18.922221,100,5,1000000,hs,Yes,10,MSR,0.019125
4,w2v,CBOW,2020-04-20 14:43:40.590870,100,10,1000000,hs,Yes,10,Google,0.005423659435120753
5,w2v,CBOW,2020-04-20 14:43:43.368599,100,10,1000000,hs,Yes,10,MSR,0.01575
6,w2v,CBOW,2020-04-20 14:46:27.047428,100,2,5000000,hs,Yes,10,Google,0.032337290216946375
7,w2v,CBOW,2020-04-20 14:46:33.308404,100,2,5000000,hs,Yes,10,MSR,0.08425
8,w2v,CBOW,2020-04-20 14:47:50.314625,100,5,5000000,hs,Yes,10,Google,0.029881293491608677
9,w2v,CBOW,2020-04-20 14:47:55.839784,100,5,5000000,hs,Yes,10,MSR,0.081125
10,w2v,CBOW,2020-04-20 14:49:14.369275,100,10,5000000,hs,Yes,10,Google,0.02353663528448629
11,w2v,CBOW,2020-04-20 14:49:20.013279,100,10,5000000,hs,Yes,10,MSR,0.05925
12,w2v,CBOW,2020-04-20 14:54:20.272207,100,2,10000000,hs,Yes,10,Google,0.041291444944740074
13,w2v,CBOW,2020-04-20 14:54:33.512474,100,2,10000000,hs,Yes,10,MSR,0.10925
14,w2v,CBOW,2020-04-20 14:57:19.352937,100,5,10000000,hs,Yes,10,Google,0.039142447810069585
15,w2v,CBOW,2020-04-20 14:57:33.717781,100,5,10000000,hs,Yes,10,MSR,0.100625
16,w2v,CBOW,2020-04-20 15:00:26.129743,100,10,10000000,hs,Yes,10,Google,0.032439623413835446
17,w2v,CBOW,2020-04-20 15:00:40.298616,100,10,10000000,hs,Yes,10,MSR,0.07775
